Id,Label,modularity_class,eigencentrality,betweenesscentrality,Eccentricity,closnesscentrality,kasus,sumber_data
0,@dedevael1,4,0,0,1,1,gojek,twit_gojek
1,@abeelyaza,7,0,0,2,0.722222,gojek,twit_gojek
2,@daunbolong,0,0,0,1,1,gojek,twit_gojek
3,@AdyItsMe,4,0,0,1,1,gojek,twit_gojek
4,@bonni_pc,2,0,0,1,1,gojek,twit_gojek
5,@Apalahdayaku1,4,0,0,1,1,gojek,twit_gojek
6,@CondetWarrior,4,0,0,1,1,gojek,twit_gojek
7,@Indah_GDS,7,0,0,2,0.75,gojek,twit_gojek
8,@bdulrouf,1,0,0,1,1,gojek,twit_gojek
9,@noediyan,2,0.013937,5,1,1,gojek,twit_gojek
10,@silpez,2,0,0,1,1,gojek,twit_gojek
11,@Uaiaai29,2,0,0,1,1,gojek,twit_gojek
12,@bukanpenjilat88,4,0,0,1,1,gojek,twit_gojek
13,@galihnyaryu,2,0,0,1,1,gojek,twit_gojek
14,@lj_ican,4,0,0,1,1,gojek,twit_gojek
15,@pesuytea,4,0,0,1,1,gojek,twit_gojek
16,@Rubentuss,4,0,0,1,1,gojek,twit_gojek
17,@genta_langit,2,0,0,1,1,gojek,twit_gojek
18,@ghostjek,4,0,0,1,1,gojek,twit_gojek
19,@jorgiemonroe,5,0,0,1,1,gojek,twit_gojek
20,@APPFfilter,5,0,0,1,1,gojek,twit_gojek
21,@Anakmalam1902,4,0,0,1,1,gojek,twit_gojek
22,@AnnisaSeptiayu,0,0,0,1,1,gojek,twit_gojek
23,@Bradio956FM,6,0,0,1,1,gojek,twit_gojek
24,@ChikaRonk,7,0,0,1,1,gojek,twit_gojek
25,@Elokmn,2,0,0,1,1,gojek,twit_gojek
26,@FNSYH,2,0,0,1,1,gojek,twit_gojek
27,@Genta_Sukarni,0,0,0,1,1,gojek,twit_gojek
28,@Vin_Madja,2,0,0,1,1,gojek,twit_gojek
29,@ardhyslankers42,4,0,0,1,1,gojek,twit_gojek
30,@dinikopi,2,0,0,1,1,gojek,twit_gojek
31,@dituneik,2,0,0,1,1,gojek,twit_gojek
32,@elpanjullo,7,0.027875,10,1,1,gojek,twit_gojek
33,@manusia44096439,4,0,0,1,1,gojek,twit_gojek
34,@pengendarabesi,2,0,0,1,1,gojek,twit_gojek
35,@ramfebriana,4,0,0,1,1,gojek,twit_gojek
36,@sihargeol,2,0,0,1,1,gojek,twit_gojek
37,@Driver2292,2,0,0,1,1,gojek,twit_gojek
38,@DriverOnline22,4,0,0,1,1,gojek,twit_gojek
39,@Fawasidiot,4,0,0,1,1,gojek,twit_gojek
40,@IasMardiyah,4,0,0,1,1,gojek,twit_gojek
41,@Ilhambudiansyah,8,0,0,1,1,gojek,twit_gojek
42,@Lukman220897,4,0,0,1,1,gojek,twit_gojek
43,@Melata_Dijalan,2,0,0,2,0.8,gojek,twit_gojek
44,@Ocol_ojol,12,0,0,1,1,gojek,twit_gojek
45,@R_maul04,4,0,0,1,1,gojek,twit_gojek
46,@RahyaMaya,9,0,0,1,1,gojek,twit_gojek
47,@Rian87377025,4,0,0,1,1,gojek,twit_gojek
48,@SaidAdhon,2,0,0,1,1,gojek,twit_gojek
49,@andriecla7,4,0,0,1,1,gojek,twit_gojek
50,@anyeanye,2,0,0,1,1,gojek,twit_gojek
51,@da___nu,2,0,0,1,1,gojek,twit_gojek
52,@den_pange,4,0,0,1,1,gojek,twit_gojek
53,@dijalannn,2,0,0,1,1,gojek,twit_gojek
54,@erulizm,5,0,0,1,1,gojek,twit_gojek
55,@gojek_kang,4,0,0,1,1,gojek,twit_gojek
56,@intherosi,4,0,0,1,1,gojek,twit_gojek
57,@kumparan,2,0,0,1,1,gojek,twit_gojek
58,@maulidyapy,2,0,0,1,1,gojek,twit_gojek
59,@shofieanandha,4,0,0,1,1,gojek,twit_gojek
60,@srslyitsjustme,2,0,0,1,1,gojek,twit_gojek
61,@umarsandi,10,0,0,1,1,gojek,twit_gojek
62,@3Duniaa,11,0,0,1,1,gojek,twit_gojek
63,@4ndreansyah,4,0,0,1,1,gojek,twit_gojek
64,@AbieOirVonpa,4,0,0,1,1,gojek,twit_gojek
65,@BondolSimamora,2,0,0,1,1,gojek,twit_gojek
66,@BuanaPhajar,0,0,0,2,0.666667,gojek,twit_gojek
67,@CeritaTranspOL,2,0.662416,0,0,0,gojek,twit_gojek
68,@DramaGojek,0,0.083625,2.5,1,1,gojek,twit_gojek
69,@Jaroet12,0,0,0,1,1,gojek,twit_gojek
70,@Krisna75an,7,0,0,1,1,gojek,twit_gojek
71,@LienloveMJ,4,0,0,1,1,gojek,twit_gojek
72,@M_idris27,4,0,0,1,1,gojek,twit_gojek
73,@MrdhHalim,2,0,0,1,1,gojek,twit_gojek
74,@OddieGETAH,13,0,0,1,1,gojek,twit_gojek
75,@PROPAGAN7A,2,0,0,1,1,gojek,twit_gojek
76,@Rusli_ferdian,4,0,0,1,1,gojek,twit_gojek
77,@Sagon91519548,4,0,0,1,1,gojek,twit_gojek
78,@SandraYulianto,4,0,0,1,1,gojek,twit_gojek
79,@SibIpay,4,0,0,1,1,gojek,twit_gojek
80,@Tom_Merchandise,4,0,0,1,1,gojek,twit_gojek
81,@Uchan_slue,4,0,0,1,1,gojek,twit_gojek
82,@acikjcr,2,0,0,1,1,gojek,twit_gojek
83,@ademirawa,4,0,0,1,1,gojek,twit_gojek
84,@ady_blueboyz,4,0,0,1,1,gojek,twit_gojek
85,@andifilli,4,0,0,1,1,gojek,twit_gojek
86,@andiksujitno,7,0,0,1,1,gojek,twit_gojek
87,@andrnroni,2,0,0,1,1,gojek,twit_gojek
88,@aries13milano,4,0,0,1,1,gojek,twit_gojek
89,@aries_emyu,4,0,0,1,1,gojek,twit_gojek
90,@bayu_afauzi,4,0,0,1,1,gojek,twit_gojek
91,@budakgojek,2,0,0,2,0.75,gojek,twit_gojek
92,@bungncx,2,0,0,1,1,gojek,twit_gojek
93,@cakepkalem,4,0,0,1,1,gojek,twit_gojek
94,@cathadelia,2,0,0,1,1,gojek,twit_gojek
95,@chaesanchann,2,0,0,1,1,gojek,twit_gojek
96,@deasafilaa,2,0,0,1,1,gojek,twit_gojek
97,@dramaojol,2,0.027875,1.5,1,1,gojek,twit_gojek
98,@dwgstn,2,0,0,1,1,gojek,twit_gojek
99,@edrik_ky,7,0,0,1,1,gojek,twit_gojek
100,@fadlihidts,4,0,0,1,1,gojek,twit_gojek
101,@go_jek_akap,12,0,0,1,1,gojek,twit_gojek
102,@gost_funy,2,0,0,2,0.583333,gojek,twit_gojek
103,@heryprakoso,0,0,0,2,0.8,gojek,twit_gojek
104,@hydayat666,4,0,0,1,1,gojek,twit_gojek
105,@id_ojol,5,0,0,1,1,gojek,twit_gojek
106,@izumifaiz,2,0,0,1,1,gojek,twit_gojek
107,@kamalrifai7,4,0,0,1,1,gojek,twit_gojek
108,@katanuning,2,0,0,1,1,gojek,twit_gojek
109,@keringtempe1,2,0,0,1,1,gojek,twit_gojek
110,@kumalasan_dy,7,0,0,1,1,gojek,twit_gojek
111,@madanisuray,4,0,0,1,1,gojek,twit_gojek
112,@mariaaaya,4,0,0,1,1,gojek,twit_gojek
113,@molana07,5,0,0,1,1,gojek,twit_gojek
114,@pandawlndari21,4,0,0,1,1,gojek,twit_gojek
115,@rivamareta,2,0,0,1,1,gojek,twit_gojek
116,@rulynaufal,4,0,0,1,1,gojek,twit_gojek
117,@ryiadi10,2,0,0,1,1,gojek,twit_gojek
118,@sabrina_riyanto,2,0,0,1,1,gojek,twit_gojek
119,@setiaone83,5,0,0,1,1,gojek,twit_gojek
120,@shelzy_,2,0,0,1,1,gojek,twit_gojek
121,@toyfvckinstory,4,0,0,1,1,gojek,twit_gojek
122,@tribunkaltim,3,0,0,0,0,gojek,twit_gojek
123,@tsuchiyagin,2,0,0,1,1,gojek,twit_gojek
124,@utushardiono,2,0,0,1,1,gojek,twit_gojek
125,@yonpurba,2,0,0,1,1,gojek,twit_gojek
126,@zafirayasmin,2,0,0,1,1,gojek,twit_gojek
127,@gojekindonesia,4,1,0,0,0,gojek,twit_gojek
128,@Paijo_Gemes,7,0.05575,0,0,0,gojek,twit_gojek
129,@Kesya_Kimberley,7,0.140146,0,0,0,gojek,twit_gojek
130,@DriverGojekPro,0,0.069687,0,0,0,gojek,twit_gojek
131,@gojek_jkt_0715,0,0.027875,0,0,0,gojek,twit_gojek
132,@netmediatama,1,0.013937,0,0,0,gojek,twit_gojek
133,@hubdat151,7,0.041812,0,0,0,gojek,twit_gojek
134,@KompasTV,1,0.013937,0,0,0,gojek,twit_gojek
135,@detikcom,4,0.027875,0,0,0,gojek,twit_gojek
136,@OfficialiNewsTV,1,0.013937,0,0,0,gojek,twit_gojek
137,@tvOneNews,1,0.013937,0,0,0,gojek,twit_gojek
138,@GrabID,2,0.104917,0,0,0,gojek,twit_gojek
139,@basuki_btp,5,0.013937,0,0,0,gojek,twit_gojek
140,@jokowi,5,0.125437,0,0,0,gojek,twit_gojek
141,@IgnatiusJonan,5,0.013937,0,0,0,gojek,twit_gojek
142,@DriverPetualang,0,0.013937,0,0,0,gojek,twit_gojek
143,@elloy_ajah,6,0.013937,0,0,0,gojek,twit_gojek
144,@yfdishubbatam,7,0.070459,0,0,0,gojek,twit_gojek
145,@Grace_Ayudia,7,0.013937,0,0,0,gojek,twit_gojek
146,@nuri_sintya,7,0.056521,0,0,0,gojek,twit_gojek
147,@BudiKaryaS,5,0.041812,0,0,0,gojek,twit_gojek
148,@GoTotheJek,0,0.013937,0,0,0,gojek,twit_gojek
149,@grabID,8,0.013937,0,0,0,gojek,twit_gojek
150,@KPPU,12,0.013937,0,0,0,gojek,twit_gojek
151,@ganjarpranowo,9,0.041812,0,0,0,gojek,twit_gojek
152,@masinusina,9,0.013937,0,0,0,gojek,twit_gojek
153,@provjateng,9,0.013937,0,0,0,gojek,twit_gojek
154,@yunantyo2,9,0.013937,0,0,0,gojek,twit_gojek
155,@TIGORaja,7,0.027875,0,0,0,gojek,twit_gojek
156,@Uber_IDN,2,0.049167,0,0,0,gojek,twit_gojek
157,@qitmr,2,0.013937,0,0,0,gojek,twit_gojek
158,@Uteesme,10,0.013937,0,0,0,gojek,twit_gojek
159,@klingondroid,11,0.013937,0,0,0,gojek,twit_gojek
160,@ShintJovita,0,0.013937,0,0,0,gojek,twit_gojek
161,@Vita_lchow,0,0.013937,0,0,0,gojek,twit_gojek
162,@kemenhub151,2,0.041812,0,0,0,gojek,twit_gojek
163,@GrabJakmania,0,0.027875,0,0,0,gojek,twit_gojek
164,@Darmaningtyas,9,0.027875,0,0,0,gojek,twit_gojek
165,@Dishub_Bpn,7,0.013937,0,0,0,gojek,twit_gojek
166,@MitraGojek1,7,0.013937,0,0,0,gojek,twit_gojek
167,@PemkotBPN,7,0.013937,0,0,0,gojek,twit_gojek
168,@BKS_Menhub,12,0.013937,0,0,0,gojek,twit_gojek
169,@aniesbaswedan,12,0.013937,0,0,0,gojek,twit_gojek
170,@corbuzier,12,0.013937,0,0,0,gojek,twit_gojek
171,@edhozell,12,0.013937,0,0,0,gojek,twit_gojek
172,@sandiuno,12,0.041812,0,0,0,gojek,twit_gojek
173,@St_agustaf,13,0.013937,0,0,0,gojek,twit_gojek
174,@addiems,13,0.013937,0,0,0,gojek,twit_gojek
175,@infosuporter,13,0.013937,0,0,0,gojek,twit_gojek
176,@Habib_Insyaf,9,0.013937,0,0,0,gojek,twit_gojek
177,@alvinlie21,9,0.013937,0,0,0,gojek,twit_gojek
178,@triwul82,9,0.013937,0,0,0,gojek,twit_gojek
179,@ustadzthink,9,0.013937,0,0,0,gojek,twit_gojek
180,@TRANS7,1,0.013937,0,0,0,gojek,twit_gojek
181,@TRANSTV_CORP,1,0.013937,0,0,0,gojek,twit_gojek
182,@AmosAnakMedan,7,0.056521,0,0,0,gojek,twit_gojek
183,@Yoshuapar,7,0.056521,0,0,0,gojek,twit_gojek
184,@imDheaDe,7,0.056521,0,0,0,gojek,twit_gojek
185,@KemnakerRI,12,0.013937,0,0,0,gojek,twit_gojek
186,@detikinet,4,0.013937,0,0,0,gojek,twit_gojek
187,@KRMTRoySuryo,5,0.013937,0,0,0,gojek,twit_gojek
188,@DivHumasPolri,2,0.035229,0,0,0,gojek,twit_gojek
189,@ceritatranspol,2,0.035229,0,0,0,gojek,twit_gojek
190,@Yusrilihza_Mhd,5,0.013937,0,0,0,gojek,twit_gojek
